         1          1          0
         1          1          1
         1          1          6
         1          1         19
         1          1         21
         1          1         23
         1          1         26
         1          1         27
         1          1         28
         1          1         34
         1          1         38
         1          1         40
         1          1         42
         1          1         47
         1          1         51
         1          1         61
         1          1         66
         1          1         70
         1          1         71
         1          1         73
         1          1         79
         1          1         85
         1          1         90
         1          1         91
         1          1         92
         1          1         96
         1          1         97
         2          2          2
         2          2          4
         2          2          7
         2          2          8
         2          2         10
         2          2         12
         2          2         16
         2          2         17
         2          2         19
         2          2         24
         2          2         27
         2          2         31
         2          2         34
         2          2         38
         2          2         44
         2          2         47
         2          2         54
         2          2         56
         2          2         61
         2          2         66
         2          2         72
         2          2         81
         2          2         84
         2          2         90
         2          2         92
         2          2         96
         2          2         97
         2          2         98
         3          3          1
         3          3         10
         3          3         16
         3          3         21
         3          3         23
         3          3         26
         3          3         38
         3          3         40
         3          3         61
         3          3         65
         3          3         68
         3          3         73
         3          3         75
         3          3         81
         3          3         84
         3          3         86
         3          3         90
         4          4          0
         4          4          2
         4          4          6
         4          4          7
         4          4          8
         4          4         10
         4          4         12
         4          4         16
         4          4         19
         4          4         21
         4          4         27
         4          4         28
         4          4         33
         4          4         34
         4          4         47
         4          4         49
         4          4         61
         4          4         62
         4          4         69
         4          4         79
         4          4         84
         4          4         87
         4          4         94
         4          4         96
         5          5          5
         5          5          6
         5          5          9
         5          5         12
         5          5         16
         5          5         17
         5          5         21
         5          5         28
         5          5         36
         5          5         54
         5          5         56
         5          5         61
         5          5         69
         5          5         73
         5          5         76
         5          5         79
         5          5         80
         5          5         82
         5          5         84
         5          5         90
         6          6          1
         6          6          6
         6          6         12
         6          6         23
         6          6         33
         6          6         34
         6          6         37
         6          6         38
         6          6         45
         6          6         53
         6          6         57
         6          6         66
         6          6         71
         6          6         73
         6          6         82
         6          6         84
         6          6         93
         6          6         98
         7          7          1
         7          7          7
         7          7          8
         7          7         12
         7          7         15
         7          7         23
         7          7         33
         7          7         34
         7          7         38
         7          7         40
         7          7         42
         7          7         47
         7          7         49
         7          7         55
         7          7         61
         7          7         73
         7          7         80
         7          7         82
         7          7         90
         7          7         96
         8          8          2
         8          8          6
         8          8          9
         8          8         16
         8          8         21
         8          8         23
         8          8         25
         8          8         33
         8          8         38
         8          8         45
         8          8         46
         8          8         54
         8          8         58
         8          8         61
         8          8         62
         8          8         65
         8          8         69
         8          8         70
         8          8         74
         8          8         84
         8          8         85
         8          8         90
         8          8         93
         8          8         94
         8          8         96
         9          9          2
         9          9          6
         9          9          8
         9          9         16
         9          9         17
         9          9         19
         9          9         21
         9          9         24
         9          9         31
         9          9         33
         9          9         40
         9          9         42
         9          9         45
         9          9         46
         9          9         50
         9          9         51
         9          9         52
         9          9         56
         9          9         61
         9          9         69
         9          9         79
         9          9         80
         9          9         82
         9          9         84
         9          9         87
         9          9         90
         9          9         93
         9          9         97
        10         10          5
        10         10         10
        10         10         19
        10         10         34
        10         10         38
        10         10         51
        10         10         57
        10         10         61
        10         10         65
        10         10         66
        10         10         72
        10         10         73
        10         10         79
        10         10         80
        10         10         84
        10         10         93
        11         11          1
        11         11          2
        11         11          7
        11         11          8
        11         11         12
        11         11         21
        11         11         24
        11         11         27
        11         11         28
        11         11         33
        11         11         34
        11         11         36
        11         11         38
        11         11         40
        11         11         42
        11         11         45
        11         11         47
        11         11         50
        11         11         61
        11         11         66
        11         11         68
        11         11         73
        11         11         79
        11         11         80
        11         11         84
        11         11         86
        11         11         90
        11         11         91
        11         11         93
        12         12          0
        12         12          2
        12         12         10
        12         12         13
        12         12         16
        12         12         17
        12         12         21
        12         12         24
        12         12         27
        12         12         28
        12         12         33
